number_of_reviews,calculated_host_listings_count,availability_365,room_type,price
0.15151515151515152,0.0,0.0,0.0,91
0.0,0.0,0.08767123287671233,0.5,220
0.0,0.0,0.0,1.0,46
0.4545454545454546,0.0,0.7506849315068493,0.5,299
0.5454545454545454,0.0,0.0136986301369863,0.5,150
0.18181818181818182,0.0,0.2191780821917808,0.5,100
0.10606060606060606,0.0,0.0,0.5,250
0.030303030303030304,0.0,0.0,0.0,55
0.9393939393939394,0.0,0.715068493150685,0.0,180
0.5909090909090909,0.0,0.5123287671232877,0.0,65
0.13636363636363635,0.3333333333333333,0.9095890410958904,0.0,65
0.16666666666666669,0.0,0.7095890410958904,0.5,200
0.015151515151515152,0.0,0.0,0.0,80
0.2878787878787879,0.0,0.5315068493150685,0.5,175
0.5151515151515151,0.3333333333333333,0.0,0.5,145
0.0,0.0,0.0,0.5,500
0.7121212121212122,0.0,0.0136986301369863,0.5,140
0.36363636363636365,0.0,0.5671232876712329,0.5,220
0.0,0.0,0.9780821917808219,1.0,65
0.0,0.0,0.0,0.5,500
0.030303030303030304,0.0,0.4931506849315069,0.0,88
0.3484848484848485,1.0,0.1643835616438356,0.0,60
0.015151515151515152,0.0,0.0,0.0,80
0.5454545454545454,0.0,0.0,0.0,43
0.0,1.0,0.4904109589041096,1.0,77
0.045454545454545456,0.0,0.0,0.0,89
0.2878787878787879,0.0,0.4191780821917808,0.0,99
0.015151515151515152,0.0,0.0,0.5,95
0.16666666666666669,0.0,0.0,0.5,150
0.0,0.6666666666666667,0.6054794520547945,0.0,90
0.030303030303030304,0.0,0.0,0.0,100
0.16666666666666669,0.0,0.0,0.5,100
0.15151515151515152,0.0,0.0,0.0,52
0.0,0.0,0.0,0.5,4000
0.06060606060606061,0.0,0.0,0.0,65
0.8787878787878788,0.3333333333333333,0.04657534246575343,0.5,146
0.15151515151515152,0.0,0.0,0.5,150
0.0,0.0,0.0,0.5,750
0.3181818181818182,0.0,0.9945205479452055,0.0,125
0.10606060606060606,0.0,0.9808219178082191,0.5,148
0.0,0.3333333333333333,0.0027397260273972603,0.0,225
0.30303030303030304,0.0,0.2684931506849315,0.0,99
0.06060606060606061,0.0,0.2410958904109589,0.0,80
0.0,0.0,0.0,0.0,31
0.015151515151515152,0.0,0.0027397260273972603,0.0,40
0.015151515151515152,0.0,0.27945205479452057,0.5,160
0.10606060606060606,0.0,0.0,0.0,150
0.06060606060606061,0.0,0.9780821917808219,0.5,800
0.015151515151515152,0.3333333333333333,0.024657534246575342,0.0,90
0.5303030303030303,0.3333333333333333,0.23287671232876714,0.0,60
0.0,0.0,0.0,0.0,150
0.0,0.0,0.0,0.5,750
0.19696969696969696,1.0,0.0,1.0,23
0.2272727272727273,0.0,0.049315068493150684,0.5,180
0.09090909090909091,0.0,0.2273972602739726,0.0,60
0.0,0.6666666666666667,0.8575342465753425,0.5,595
0.015151515151515152,0.0,0.22465753424657534,0.0,75
0.0,0.0,0.0,0.0,36
0.045454545454545456,0.0,0.0,0.5,75
0.0,0.0,0.0,0.5,249
0.015151515151515152,0.0,0.0,0.0,35
0.6818181818181819,0.3333333333333333,0.9726027397260274,0.5,225
0.9393939393939394,0.0,0.7424657534246576,0.0,89
0.12121212121212122,0.0,0.6410958904109589,0.5,165
0.0,0.0,0.0,0.0,65
0.16666666666666669,0.3333333333333333,1.0,0.0,120
0.030303030303030304,0.0,0.2356164383561644,0.0,69
0.06060606060606061,0.0,0.0,0.5,99
1.0,0.0,0.0136986301369863,0.5,140
0.18181818181818182,0.0,0.1780821917808219,0.5,100
0.0,0.0,0.0,0.0,32
0.18181818181818182,0.0,0.11232876712328767,0.0,50
0.13636363636363635,0.3333333333333333,0.14794520547945206,0.0,95
0.8787878787878788,0.0,0.2136986301369863,0.5,125
0.12121212121212122,0.0,0.0,0.0,60
0.045454545454545456,0.0,0.0,0.5,200
0.0,0.0,0.0,0.5,220
0.045454545454545456,0.3333333333333333,0.0,1.0,25
0.12121212121212122,0.0,0.0,0.5,225
0.015151515151515152,0.0,0.9506849315068493,0.5,160
0.2727272727272727,0.0,0.0,0.5,100
0.5303030303030303,0.0,0.043835616438356165,0.5,149
0.015151515151515152,0.0,0.0,0.0,60
0.015151515151515152,0.6666666666666667,0.3780821917808219,1.0,37
